id;name;date;time;place;isRace;ageLimit;maxChildAge;medicalRequired;teamEvent;genderRestriction;description
301;Dmytro;Shevchenko;male;10;dmytro.shevchenko@email.com;+1234567820;
302;Olena;Kovalchuk;female;12;olena.kovalchuk@email.com;+1234567821;
303;Ivan;Bondar;male;8;ivan.bondar@email.com;+1234567822;
304;Sofiia;Tkachenko;female;14;sofiia.tkachenko@email.com;+1234567823;
305;Artem;Melnyk;male;9;artem.melnyk@email.com;+1234567824;
306;Lucas;Martinez;male;13;lucas.martinez@argmail.com;+5491123456789;player
307;Emma;Dubois;female;11;emma.dubois@frmail.com;+33123456789;player
308;Mateo;Rossi;male;12;mateo.rossi@itmail.com;+390612345678;player
309;Sophia;Nguyen;female;9;sophia.nguyen@vnmail.com;+84901234567;player
310;Noah;Smith;male;14;noah.smith@ukmail.com;+447912345678;player
311;Mia;Kim;female;10;mia.kim@krmail.com;+821012345678;player
312;Oliver;Johansson;male;8;oliver.johansson@semail.com;+46701234567;player
313;Isabella;Garcia;female;13;isabella.garcia@esmail.com;+34612345678;player
314;Ethan;Brown;male;11;ethan.brown@usmail.com;+12025550123;player
315;Ava;Ivanova;female;12;ava.ivanova@rumail.com;+40712345678;player
316;Leo;Schmidt;male;9;leo.schmidt@demmail.com;+4915123456789;player
317;Charlotte;Lefevre;female;8;charlotte.lefevre@frmail.com;+33612345678;player
318;Benjamin;Kumar;male;13;benjamin.kumar@inmail.com;+919812345678;player
319;Emily;O'Connor;female;14;emily.oconnor@iepmail.com;+353871234567;player
320;Daniel;Petrov;male;10;daniel.petrov@bgmail.com;+359881234567;player
321;Amelia;Silva;female;11;amelia.silva@ptmail.com;+351912345678;player
322;William;Lee;male;12;william.lee@cnmail.com;+8613800138000;player
323;Chloe;Novak;female;13;chloe.novak@czmail.com;+420601234567;player
324;James;Murphy;male;8;james.murphy@aummail.com;+61412345678;player
325;Sofia;Popescu;female;9;sofia.popescu@rumail.com;+40721234567;player
326;Alexander;Kowalski;male;14;alexander.kowalski@plmail.com;+48501234567;player
327;Ella;Santos;female;10;ella.santos@brmail.com;+5511999999999;player
328;David;Cohen;male;11;david.cohen@ilmail.com;+972501234567;player
329;Hannah;Jensen;female;12;hannah.jensen@dkmail.com;+4520123456;player
330;Samuel;Müller;male;13;samuel.mueller@chmail.com;+41791234567;player
331;Grace;Wilson;female;8;grace.wilson@nzmail.com;+64211234567;player
332;Maksym;Kuznetsov;male;9;maksym.kuznetsov@uamail.com;+380501234567;player
333;Victoria;Peterson;female;14;victoria.peterson@usmail.com;+12025550124;player
334;Oscar;Fernandez;male;10;oscar.fernandez@esmail.com;+34622345678;player
335;Lily;Andersson;female;11;lily.andersson@semail.com;+46711234567;player
